PWVmidTim        PW
YYYMMDD/HHMM    [mm]
20190424/0015   12.2
20190424/0045   11.2
20190424/0115   10.6
20190424/0145   10.1
20190424/0215   9.2
20190424/0245   8.9
20190424/0315   9.1
20190424/0345   9.0
20190424/0415   8.8
20190424/0445   9.0
20190424/0515   8.8
20190424/0545   8.2
20190424/0615   7.8
20190424/0645   7.3
20190424/0715   6.8
20190424/0745   6.1
20190424/0815   5.8
20190424/0845   6.2
20190424/0915   5.7
20190424/0945   4.9
20190424/1015   5.1
20190424/1045   4.9
20190424/1115   4.4
20190424/1145   4.3
20190424/1215   4.1
20190424/1245   3.8
20190424/1315   4.0
20190424/1345   4.4
20190424/1415   4.1
20190424/1445   4.5
20190424/1515   4.5
20190424/1545   4.8
20190424/1615   6.0
20190424/1645   6.8
20190424/1715   7.3
20190424/1745   7.8
20190424/1815   8.2
20190424/1845   9.5
20190424/1915   10.3
20190424/1945   10.8
20190424/2015   11.9
20190424/2045   12.4
20190424/2115   12.0
20190424/2145   11.2
20190424/2215   10.8
20190424/2245   10.0
20190424/2315   8.5
20190424/2345   7.7
20190429/0015   9.6
20190429/0045   8.9
20190429/0115   7.7
20190429/0145   6.7
20190429/0215   6.6
20190429/0245   7.6
20190429/0315   7.4
20190429/0345   6.8
20190429/0415   6.9
20190429/0445   6.4
20190429/0515   6.8
20190429/0545   6.9
20190429/0615   6.7
20190429/0645   6.8
20190429/0715   7.1
20190429/0745   7.8
20190429/0815   8.7
20190429/0845   9.2
20190429/0915   9.0
20190429/0945   9.0
20190429/1015   9.1
20190429/1045   8.9
20190429/1115   8.8
20190429/1145   7.9
20190429/1215   7.6
20190429/1245   7.6
20190429/1315   7.3
20190429/1345   7.4
20190429/1415   8.2
20190429/1445   9.0
20190429/1515   9.0
20190429/1545   9.1
20190429/1615   10.6
20190429/1645   12.3
20190429/1715   12.4
20190429/1745   12.9
20190429/1815   13.9
20190429/1845   14.5
20190429/1915   15.4
20190429/1945   15.1
20190429/2015   14.6
20190429/2045   15.1
20190429/2115   16.1
20190429/2145   16.0
20190429/2215   17.3
20190429/2245   18.2
20190429/2315   16.8
20190429/2345   16.4
20190430/0015   15.6
20190430/0045   14.4
20190430/0115   13.6
20190430/0145   12.2
20190430/0215   11.2
20190430/0245   11.0
20190430/0315   9.8
20190430/0345   8.6
20190430/0415   8.8
20190430/0445   8.4
20190430/0515   8.4
20190430/0545   8.2
20190430/0615   6.8
20190430/0645   6.8
20190430/0715   7.1
20190430/0745   7.1
20190430/0815   7.4
20190430/0845   7.2
20190430/0915   6.6
20190430/0945   6.4
20190430/1015   6.8
20190430/1045   7.2
20190430/1115   7.4
20190430/1145   6.7
20190430/1215   6.0
20190430/1245   5.8
20190430/1315   5.5
20190430/1345   5.2
20190430/1415   4.6
20190430/1445   3.7
20190430/1515   3.7
20190430/1545   4.6
20190430/1615   6.1
20190430/1645   7.9
20190430/1715   8.1
20190430/1745   9.1
20190430/1815   10.8
20190430/1845   10.1
20190430/1915   9.8
20190430/1945   8.1
20190430/2015   7.3
20190430/2045   8.9
20190430/2115   11.7
20190430/2145   12.6
20190430/2215   12.6
20190430/2245   12.8
20190430/2315   12.6
20190430/2345   13.3
20190501/0015   12.1
20190501/0045   11.8
20190501/0115   11.6
20190501/0145   10.3
20190501/0215   9.8
20190501/0245   9.6
20190501/0315   9.1
20190501/0345   8.7
20190501/0415   7.3
20190501/0445   5.2
20190501/0515   4.4
20190501/0545   3.3
20190501/0615   1.9
20190501/0645   2.1
20190501/0715   1.6
20190501/0745   1.8
20190501/0815   2.7
20190501/0845   2.4
20190501/0915   2.2
20190501/0945   2.6
20190501/1015   3.0
20190501/1045   3.2
20190501/1115   3.3
20190501/1145   3.1
20190501/1215   3.9
20190501/1245   5.5
20190501/1315   6.5
20190501/1345   6.7
20190501/1415   7.3
20190501/1445   7.6
20190501/1515   6.9
20190501/1545   7.7
20190501/1615   9.4
20190501/1645   10.7
20190501/1715   11.3
20190501/1745   11.5
20190501/1815   12.4
20190501/1845   12.2
20190501/1915   12.8
20190501/1945   12.5
20190501/2015   12.9
20190501/2045   14.2
20190501/2115   14.1
20190501/2145   14.0
20190501/2215   14.2
20190501/2245   14.2
20190501/2315   14.3
20190501/2345   14.7
20190502/0015   14.2
20190502/0045   14.0
20190502/0115   14.1
20190502/0145   13.5
20190502/0215   13.4
20190502/0245   13.1
20190502/0315   12.4
20190502/0345   12.0
20190502/0415   10.5
20190502/0445   9.8
20190502/0515   9.4
20190502/0545   8.2
20190502/0615   7.8
20190502/0645   9.0
20190502/0715   9.5
20190502/0745   9.1
20190502/0815   9.2
20190502/0845   9.3
20190502/0915   9.0
20190502/0945   8.9
20190502/1015   9.0
20190502/1045   8.4
20190502/1115   7.6
20190502/1145   6.6
20190502/1215   6.1
20190502/1245   6.3
20190502/1315   7.2
20190502/1345   8.0
20190502/1415   8.4
20190502/1445   8.5
20190502/1515   7.9
20190502/1545   8.5
20190502/1615   9.8
20190502/1645   10.7
20190502/1715   11.1
20190502/1745   13.1
20190502/1815   15.3
20190502/1845   14.9
20190502/1915   14.6
20190502/1945   15.1
20190502/2015   15.6
20190502/2045   17.3
20190502/2115   17.5
20190502/2145   17.8
20190502/2215   18.6
20190502/2245   18.5
20190502/2315   18.9
20190502/2345   20.0
20190503/0015   17.8
20190503/0045   15.9
20190503/0115   17.0
20190503/0145   17.4
20190503/0215   17.1
20190503/0245   15.6
20190503/0315   14.9
20190503/0345   14.5
20190503/0415   13.0
20190503/0445   12.7
20190503/0515   12.9
20190503/0545   10.6
20190503/0615   9.6
20190503/0645   10.5
20190503/0715   10.2
20190503/0745   10.6
20190503/0815   11.3
20190503/0845   11.4
20190503/0915   11.3
20190503/0945   11.0
20190503/1015   10.6
20190503/1045   9.8
20190503/1115   8.7
20190503/1145   8.3
20190503/1215   8.2
20190503/1245   8.0
20190503/1315   8.1
20190503/1345   8.0
20190503/1415   7.9
20190503/1445   7.5
20190503/1515   7.6
20190503/1545   8.7
20190503/1615   9.4
20190503/1645   10.6
20190503/1715   12.0
20190503/1745   12.3
20190503/1815   13.0
20190503/1845   14.4
20190503/1915   15.8
20190503/1945   15.4
20190503/2015   15.2
20190503/2045   16.8
20190503/2115   16.7
20190503/2145   16.8
20190503/2215   17.7
20190503/2245   17.6
20190503/2315   18.2
20190503/2345   19.4
