PWVmidTim        PW
YYYMMDD/HHMM    [mm]
20190101/0015   2.4
20190101/0045   2.6
20190101/0115   2.5
20190101/0145   2.3
20190101/0215   2.3
20190101/0245   2.1
20190101/0315   1.9
20190101/0345   2.0
20190101/0415   1.8
20190101/0445   2.0
20190101/0515   2.1
20190101/0545   1.8
20190101/0615   2.2
20190101/0645   2.2
20190101/0715   2.2
20190101/0745   1.9
20190101/0815   1.8
20190101/0845   1.8
20190101/0915   1.6
20190101/0945   1.8
20190101/1015   2.2
20190101/1045   1.6
20190101/1115   1.1
20190101/1145   1.5
20190101/1215   1.5
20190101/1245   1.6
20190101/1315   1.9
20190101/1345   1.6
20190101/1415   1.3
20190101/1445   1.5
20190101/1515   1.4
20190101/1545   1.4
20190101/1615   1.4
20190101/1645   1.5
20190101/1715   1.6
20190101/1745   1.4
20190101/1815   1.8
20190101/1845   2.1
20190101/1915   1.5
20190101/1945   1.5
20190101/2015   1.8
20190101/2045   2.1
20190101/2115   2.7
20190101/2145   3.5
20190101/2215   3.8
20190101/2245   3.5
20190101/2315   3.7
20190101/2345   4.0
20190101/2345   4.0
20190102/0015   4.2
20190102/0045   4.5
20190102/0115   4.3
20190102/0145   3.5
20190102/0215   3.1
20190102/0245   2.8
20190102/0315   2.8
20190102/0345   2.8
20190102/0415   2.4
20190102/0445   2.8
20190102/0515   2.9
20190102/0545   2.7
20190102/0615   3.3
20190102/0645   3.1
20190102/0715   2.6
20190102/0745   2.6
20190102/0815   2.7
20190102/0845   2.8
20190102/0915   3.2
20190102/0945   4.5
20190102/1015   5.2
20190102/1045   5.1
20190102/1115   5.4
20190102/1145   5.6
20190102/1215   5.6
20190102/1245   5.6
20190102/1315   5.4
20190102/1345   5.3
20190102/1415   5.5
20190102/1445   5.7
20190102/1515   6.0
20190102/1545   5.9
20190102/1615   5.8
20190102/1645   5.7
20190102/1715   5.8
20190102/1745   6.0
20190102/1815   6.4
20190102/1845   6.5
20190102/1915   5.9
20190102/1945   5.6
20190102/2015   5.6
20190102/2045   5.6
20190102/2115   6.1
20190102/2145   6.2
20190102/2215   5.6
20190102/2245   5.5
20190102/2315   5.8
20190102/2345   5.6
20190102/2345   5.6
20190103/0015   5.6
20190103/0045   5.9
20190103/0115   5.9
20190103/0145   5.8
20190103/0215   5.8
20190103/0245   5.4
20190103/0315   5.4
20190103/0345   5.4
20190103/0415   5.3
20190103/0445   5.9
20190103/0515   6.0
20190103/0545   5.9
20190103/0615   6.9
20190103/0645   7.1
20190103/0715   6.4
20190103/0745   6.2
20190103/0815   6.7
20190103/0845   7.0
20190103/0915   7.1
20190103/0945   7.4
20190103/1015   7.6
20190103/1045   7.3
20190103/1115   6.8
20190103/1145   6.8
20190103/1215   6.5
20190103/1245   6.4
20190103/1315   6.3
20190103/1345   6.2
20190103/1415   6.3
20190103/1445   6.7
20190103/1515   7.0
20190103/1545   6.5
20190103/1615   6.3
20190103/1645   6.5
20190103/1715   6.6
20190103/1745   6.9
20190103/1815   7.0
20190103/1845   6.5
20190103/1915   6.2
20190103/1945   6.3
20190103/2015   6.2
20190103/2045   6.2
20190103/2115   7.0
20190103/2145   7.4
20190103/2215   7.0
20190103/2245   7.3
20190103/2315   7.3
20190103/2345   6.9
20190103/2345   6.9
20190104/0015   7.0
20190104/0045   7.3
20190104/0115   7.6
20190104/0145   7.8
20190104/0215   7.7
20190104/0245   7.6
20190104/0315   7.9
20190104/0345   7.6
20190104/0415   7.4
20190104/0445   7.7
20190104/0515   7.6
20190104/0545   7.9
20190104/0615   8.5
20190104/0645   8.4
20190104/0715   8.1
20190104/0745   8.2
20190104/0815   8.3
20190104/0845   8.5
20190104/0915   9.0
20190104/0945   9.0
20190104/1015   8.4
20190104/1045   8.1
20190104/1115   7.9
20190104/1145   7.6
20190104/1215   7.3
20190104/1245   7.5
20190104/1315   7.4
20190104/1345   7.0
20190104/1415   6.5
20190104/1445   6.4
20190104/1515   6.4
20190104/1545   6.3
20190104/1615   6.5
20190104/1645   6.9
20190104/1715   7.3
20190104/1745   7.5
20190104/1815   7.9
20190104/1845   7.6
20190104/1915   6.7
20190104/1945   6.5
20190104/2015   6.2
20190104/2045   6.0
20190104/2115   6.2
20190104/2145   6.2
20190104/2215   6.1
20190104/2245   6.3
20190104/2315   6.1
20190104/2345   5.9
20190104/2345   5.9
20190105/0015   6.1
20190105/0045   6.2
20190105/0115   6.3
20190105/0145   6.4
20190105/0215   6.5
20190105/0245   6.0
20190105/0315   5.8
20190105/0345   5.7
20190105/0415   5.8
20190105/0445   6.2
20190105/0515   6.0
20190105/0545   6.2
20190105/0615   6.6
20190105/0645   6.7
20190105/0715   6.6
20190105/0745   6.4
20190105/0815   6.2
20190105/0845   6.1
20190105/0915   6.2
20190105/0945   6.2
20190105/1015   6.1
20190105/1045   5.8
20190105/1115   5.2
20190105/1145   5.3
20190105/1215   5.1
20190105/1245   4.9
20190105/1315   5.2
20190105/1345   5.1
20190105/1415   4.9
20190105/1445   4.5
20190105/1515   4.2
20190105/1545   4.3
20190105/1615   4.4
20190105/1645   4.4
20190105/1715   4.5
20190105/1745   4.5
20190105/1815   5.4
20190105/1845   5.3
20190105/1915   4.7
20190105/1945   4.5
20190105/2015   4.3
20190105/2045   4.7
20190105/2115   4.8
20190105/2145   4.7
20190105/2215   4.6
20190105/2245   4.9
20190105/2315   5.1
20190105/2345   5.4
20190105/2345   5.4
20190105/0015   6.1
20190105/0045   6.2
20190105/0115   6.3
20190105/0145   6.4
20190105/0215   6.5
20190105/0245   6.0
20190105/0315   5.8
20190105/0345   5.7
20190105/0415   5.8
20190105/0445   6.2
20190105/0515   6.0
20190105/0545   6.2
20190105/0615   6.6
20190105/0645   6.7
20190105/0715   6.6
20190105/0745   6.4
20190105/0815   6.2
20190105/0845   6.1
20190105/0915   6.2
20190105/0945   6.2
20190105/1015   6.1
20190105/1045   5.8
20190105/1115   5.2
20190105/1145   5.3
20190105/1215   5.1
20190105/1245   4.9
20190105/1315   5.2
20190105/1345   5.1
20190105/1415   4.9
20190105/1445   4.5
20190105/1515   4.2
20190105/1545   4.3
20190105/1615   4.4
20190105/1645   4.4
20190105/1715   4.5
20190105/1745   4.5
20190105/1815   5.4
20190105/1845   5.3
20190105/1915   4.7
20190105/1945   4.5
20190105/2015   4.3
20190105/2045   4.7
20190105/2115   4.8
20190105/2145   4.7
20190105/2215   4.6
20190105/2245   4.9
20190105/2315   5.1
20190105/2345   5.4
20190105/2345   5.4
20190106/0015   6.2
20190106/0045   6.6
20190106/0115   7.3
20190106/0145   7.1
20190106/0215   6.9
20190106/0245   7.0
20190106/0315   7.0
20190106/0345   7.1
20190106/0415   7.5
20190106/0445   8.0
20190106/0515   7.4
