PWVmidTim        PW
YYYMMDD/HHMM    [mm]
20190101/0015   37.2
20190101/0045   36.5
20190101/0115   37.4
20190101/0145   37.1
20190101/0215   35.5
20190101/0245   34.5
20190101/0315   33.8
20190101/0345   32.9
20190101/0415   32.8
20190101/0445   32.2
20190101/0515   31.8
20190101/0545   32.8
20190101/0615   32.2
20190101/0645   31.4
20190101/0715   29.7
20190101/0745   27.9
20190101/0815   26.1
20190101/0845   25.2
20190101/0915   26.0
20190101/0945   26.1
20190101/1015   25.3
20190101/1045   23.6
20190101/1115   21.4
20190101/1145   20.1
20190101/1215   21.7
20190101/1245   23.1
20190101/1315   22.5
20190101/1345   26.3
20190101/1415   32.9
20190101/1445   35.0
20190101/1515   33.9
20190101/1545   34.0
20190101/1615   33.4
20190101/1645   33.9
20190101/1715   33.2
20190101/1745   30.4
20190101/1815   30.7
20190101/1845   33.3
20190101/1915   35.7
20190101/1945   34.4
20190101/2015   33.7
20190101/2045   36.0
20190101/2115   35.2
20190101/2145   33.5
20190101/2215   33.1
20190101/2245   32.4
20190101/2315   34.2
20190101/2345   35.4
20190101/2345   35.4
20190102/0015   33.9
20190102/0045   33.9
20190102/0115   34.3
20190102/0145   35.3
20190102/0215   36.8
20190102/0245   37.2
20190102/0315   36.4
20190102/0345   35.3
20190102/0415   34.8
20190102/0445   35.0
20190102/0515   34.8
20190102/0545   33.9
20190102/0615   33.2
20190102/0645   33.2
20190102/0715   32.8
20190102/0745   31.8
20190102/0815   30.9
20190102/0845   30.4
20190102/0915   31.1
20190102/0945   30.8
20190102/1015   29.1
20190102/1045   27.7
20190102/1115   26.8
20190102/1145   27.5
20190102/1215   28.5
20190102/1245   28.4
20190102/1315   30.5
20190102/1345   31.4
20190102/1415   30.9
20190102/1445   31.3
20190102/1515   32.3
20190102/1545   33.5
20190102/1615   33.7
20190102/1645   35.0
20190102/1715   36.3
20190102/1745   36.4
20190102/1815   36.0
20190102/1845   35.3
20190102/1915   35.9
20190102/1945   35.0
20190102/2015   33.9
20190102/2045   34.7
20190102/2115   34.0
20190102/2145   32.9
20190102/2215   32.5
20190102/2245   32.7
20190102/2315   32.8
20190102/2345   32.8
20190102/2345   32.8
20190103/0015   32.7
20190103/0045   32.4
20190103/0115   32.4
20190103/0145   32.0
20190103/0215   32.0
20190103/0245   33.0
20190103/0315   34.8
20190103/0345   36.6
20190103/0415   36.7
20190103/0445   36.6
20190103/0515   36.7
20190103/0545   36.6
20190103/0615   36.6
20190103/0645   36.7
20190103/0715   36.8
20190103/0745   36.8
20190103/0815   36.5
20190103/0845   36.2
20190103/0915   37.2
20190103/0945   37.7
20190103/1015   37.2
20190103/1045   36.6
20190103/1115   35.8
20190103/1145   35.2
20190103/1215   34.6
20190103/1245   34.2
20190103/1315   34.6
20190103/1345   35.5
20190103/1415   35.5
20190103/1445   35.5
20190103/1515   35.3
20190103/1545   34.8
20190103/1615   34.1
20190103/1645   33.6
20190103/1715   33.3
20190103/1745   33.1
20190103/1815   33.6
20190103/1845   33.4
20190103/1915   33.7
20190103/1945   33.6
20190103/2015   33.9
20190103/2045   34.6
20190103/2115   33.6
20190103/2145   33.6
20190103/2215   33.9
20190103/2245   33.9
20190103/2315   34.3
20190103/2345   33.8
20190103/2345   33.8
20190104/0015   33.9
20190104/0045   34.2
20190104/0115   34.7
20190104/0145   34.8
20190104/0215   34.3
20190104/0245   34.7
20190104/0315   35.1
20190104/0345   35.7
20190104/0415   36.0
20190104/0445   36.2
20190104/0515   36.7
20190104/0545   35.2
20190104/0615   34.0
20190104/0645   33.1
20190104/0715   32.8
20190104/0745   33.1
20190104/0815   32.6
20190104/0845   33.2
20190104/0915   34.4
20190104/0945   33.2
20190104/1015   31.0
20190104/1045   30.6
20190104/1115   31.6
20190104/1145   31.8
20190104/1215   31.1
20190104/1245   31.2
20190104/1315   32.7
20190104/1345   31.7
20190104/1415   29.4
20190104/1445   28.6
20190104/1515   27.9
20190104/1545   27.5
20190104/1615   27.5
20190104/1645   28.1
20190104/1715   29.2
20190104/1745   29.9
20190104/1815   28.6
20190104/1845   27.6
20190104/1915   27.8
20190104/1945   27.4
20190104/2015   28.2
20190104/2045   28.8
20190104/2115   27.0
20190104/2145   26.3
20190104/2215   26.9
20190104/2245   27.2
20190104/2315   27.6
20190104/2345   27.5
20190104/2345   27.5
20190105/0015   27.6
20190105/0045   27.4
20190105/0115   26.8
20190105/0145   26.9
20190105/0215   28.2
20190105/0245   29.0
20190105/0315   28.7
20190105/0345   29.2
20190105/0415   29.3
20190105/0445   28.8
20190105/0515   29.0
20190105/0545   29.8
20190105/0615   30.8
20190105/0645   30.6
20190105/0715   30.3
20190105/0745   31.6
20190105/0815   31.7
20190105/0845   29.8
20190105/0915   29.7
20190105/0945   30.1
20190105/1015   29.7
20190105/1045   29.6
20190105/1115   30.1
20190105/1145   31.1
20190105/1215   31.0
20190105/1245   31.1
20190105/1315   31.5
20190105/1345   31.3
20190105/1415   30.4
20190105/1445   29.6
20190105/1515   29.3
20190105/1545   29.4
20190105/1615   29.5
20190105/1645   29.8
20190105/1715   30.3
20190105/1745   31.4
20190105/1815   31.9
20190105/1845   30.3
20190105/1915   29.6
20190105/1945   29.2
20190105/2015   28.2
20190105/2045   28.0
20190105/2115   27.1
20190105/2145   26.5
20190105/2215   26.6
20190105/2245   27.6
20190105/2315   27.9
20190105/2345   25.7
20190105/2345   25.7
20190105/0015   27.6
20190105/0045   27.4
20190105/0115   26.8
20190105/0145   26.9
20190105/0215   28.2
20190105/0245   29.0
20190105/0315   28.7
20190105/0345   29.2
20190105/0415   29.3
20190105/0445   28.8
20190105/0515   29.0
20190105/0545   29.8
20190105/0615   30.8
20190105/0645   30.6
20190105/0715   30.3
20190105/0745   31.6
20190105/0815   31.7
20190105/0845   29.8
20190105/0915   29.7
20190105/0945   30.1
20190105/1015   29.7
20190105/1045   29.6
20190105/1115   30.1
20190105/1145   31.1
20190105/1215   31.0
20190105/1245   31.1
20190105/1315   31.5
20190105/1345   31.3
20190105/1415   30.4
20190105/1445   29.6
20190105/1515   29.3
20190105/1545   29.4
20190105/1615   29.5
20190105/1645   29.8
20190105/1715   30.3
20190105/1745   31.4
20190105/1815   31.9
20190105/1845   30.3
20190105/1915   29.6
20190105/1945   29.2
20190105/2015   28.2
20190105/2045   28.0
20190105/2115   27.1
20190105/2145   26.5
20190105/2215   26.6
20190105/2245   27.6
20190105/2315   27.9
20190105/2345   25.7
20190105/2345   25.7
20190106/0015   23.0
20190106/0045   22.6
20190106/0115   23.3
20190106/0145   22.9
20190106/0215   23.4
20190106/0245   23.7
20190106/0315   22.8
20190106/0345   24.6
20190106/0415   26.2
20190106/0445   25.3
20190106/0515   25.6
20190106/0545   26.5
20190106/0615   26.8
20190106/0645   26.2
20190106/0715   26.1
20190106/0745   26.1
20190106/0815   26.0
20190106/0845   25.0
20190106/0915   24.9
20190106/0945   25.0
20190106/1015   24.1
20190106/1045   24.4
20190106/1115   24.7
20190106/1145   24.9
20190106/1215   24.0
20190106/1245   23.5
20190106/1315   25.4
20190106/1345   26.9
20190106/1415   26.8
20190106/1445   27.7
20190106/1515   28.4
20190106/1545   29.2
20190106/1615   30.4
20190106/1645   30.8
20190106/1715   31.7
20190106/1745   32.2
20190106/1815   32.6
20190106/1845   32.7
20190106/1915   31.0
20190106/1945   31.0
20190106/2015   33.8
20190106/2045   35.0
20190106/2115   34.8
20190106/2145   35.4
20190106/2215   36.5
20190106/2245   37.5
20190106/2315   38.0
20190106/2345   37.3
20190106/2345   37.3
20190107/0015   35.4
20190107/0045   34.4
20190107/0115   34.9
20190107/0145   35.1
20190107/0215   34.4
20190107/0245   33.3
20190107/0315   32.7
20190107/0345   32.8
20190107/0415   32.0
20190107/0445   30.9
20190107/0515   30.3
20190107/0545   29.0
20190107/0615   28.9
20190107/0645   29.3
20190107/0715   30.8
20190107/0745   31.9
20190107/0815   30.3
20190107/0845   29.9
20190107/0915   30.8
20190107/0945   30.5
20190107/1015   29.4
20190107/1045   29.4
20190107/1115   30.4
20190107/1145   30.0
20190107/1215   29.1
20190107/1245   29.5
20190107/1315   31.3
20190107/1345   33.5
20190107/1415   35.0
20190107/1445   35.5
20190107/1515   35.1
20190107/1545   35.1
20190107/1615   34.7
20190107/1645   34.8
20190107/1715   34.7
20190107/1745   34.9
20190107/1815   35.6
20190107/1845   35.8
20190107/1915   34.9
20190107/1945   34.6
20190107/2015   35.6
20190107/2045   35.6
20190107/2115   34.8
20190107/2145   34.7
20190107/2215   35.3
20190107/2245   35.4
20190107/2315   34.9
20190107/2345   33.0
20190107/2345   33.0
20190108/0015   31.1
20190108/0045   32.9
20190108/0115   34.4
20190108/0145   33.0
20190108/0215   32.2
20190108/0245   31.8
20190108/0315   31.4
20190108/0345   31.7
20190108/0415   31.8
20190108/0445   31.9
20190108/0515   31.7
20190108/0545   32.7
20190108/0615   34.0
20190108/0645   33.8
20190108/0715   33.8
20190108/0745   33.0
20190108/0815   32.3
20190108/0845   32.6
20190108/0915   32.5
20190108/0945   31.5
20190108/1015   31.4
20190108/1045   32.0
20190108/1115   32.4
20190108/1145   32.4
20190108/1215   32.8
20190108/1245   33.6
20190108/1315   33.7
20190108/1345   33.8
20190108/1415   33.5
20190108/1445   33.6
20190108/1515   35.9
20190108/1545   35.5
20190108/1615   34.1
20190108/1645   34.9
20190108/1715   36.8
20190108/1745   37.3
20190108/1815   37.4
20190108/1845   37.8
20190108/1915   37.0
20190108/1945   37.3
20190108/2015   38.2
20190108/2045   38.5
20190108/2115   37.1
20190108/2145   36.8
20190108/2215   38.7
20190108/2245   39.1
20190108/2315   39.2
20190108/2345   39.1
20190108/2345   39.1
20190109/0015   38.6
20190109/0045   38.6
20190109/0115   38.1
20190109/0145   37.8
20190109/0215   37.2
20190109/0245   36.8
20190109/0315   36.4
20190109/0345   36.8
20190109/0415   36.5
20190109/0445   35.6
20190109/0515   36.0
20190109/0545   35.7
20190109/0615   35.7
20190109/0645   34.7
20190109/0715   33.4
20190109/0745   32.8
20190109/0815   32.7
20190109/0845   33.7
20190109/0915   33.1
20190109/0945   32.2
20190109/1015   31.4
20190109/1045   31.5
20190109/1115   31.0
20190109/1145   30.8
20190109/1215   31.2
20190109/1245   30.2
20190109/1315   30.2
20190109/1345   30.1
20190109/1415   30.2
20190109/1445   30.6
20190109/1515   30.6
20190109/1545   31.0
20190109/1615   31.6
20190109/1645   32.0
20190109/1715   31.9
20190109/1745   31.4
20190109/1815   32.5
20190109/1845   33.7
20190109/1915   32.2
20190109/1945   32.0
20190109/2015   33.4
20190109/2045   32.9
20190109/2115   32.3
20190109/2145   32.2
20190109/2215   32.5
20190109/2245   31.9
20190109/2315   31.0
20190109/2345   31.7
20190109/2345   31.7
