PWVmidTim        PW
YYYMMDD/HHMM    [mm]
20190101/0015   -9.9
20190101/0045   -9.9
20190101/0115   -9.9
20190101/0145   -9.9
20190101/0215   -9.9
20190101/0245   -9.9
20190101/0315   -9.9
20190101/0345   -9.9
20190101/0415   -9.9
20190101/0445   -9.9
20190101/0515   -9.9
20190101/0545   -9.9
20190101/0615   -9.9
20190101/0645   -9.9
20190101/0715   -9.9
20190101/0745   -9.9
20190101/0815   -9.9
20190101/0845   -9.9
20190101/0915   -9.9
20190101/0945   -9.9
20190101/1015   -9.9
20190101/1045   -9.9
20190101/1115   -9.9
20190101/1145   -9.9
20190101/1215   -9.9
20190101/1245   -9.9
20190101/1315   -9.9
20190101/1345   -9.9
20190101/1415   -9.9
20190101/1445   -9.9
20190101/1515   -9.9
20190101/1545   -9.9
20190101/1615   -9.9
20190101/1645   -9.9
20190101/1715   -9.9
20190101/1745   -9.9
20190101/1815   -9.9
20190101/1845   -9.9
20190101/1915   -9.9
20190101/1945   -9.9
20190101/2015   -9.9
20190101/2045   -9.9
20190101/2115   -9.9
20190101/2145   -9.9
20190101/2215   -9.9
20190101/2245   -9.9
20190101/2315   -9.9
20190101/2345   -9.9
20190101/2345   -9.9
20190102/0015   -9.9
20190102/0045   -9.9
20190102/0115   -9.9
20190102/0145   -9.9
20190102/0215   -9.9
20190102/0245   -9.9
20190102/0315   -9.9
20190102/0345   -9.9
20190102/0415   -9.9
20190102/0445   -9.9
20190102/0515   -9.9
20190102/0545   -9.9
20190102/0615   -9.9
20190102/0645   -9.9
20190102/0715   -9.9
20190102/0745   -9.9
20190102/0815   -9.9
20190102/0845   -9.9
20190102/0915   -9.9
20190102/0945   -9.9
20190102/1015   -9.9
20190102/1045   -9.9
20190102/1115   -9.9
20190102/1145   -9.9
20190102/1215   -9.9
20190102/1245   -9.9
20190102/1315   -9.9
20190102/1345   -9.9
20190102/1415   -9.9
20190102/1445   -9.9
20190102/1515   -9.9
20190102/1545   -9.9
20190102/1615   -9.9
20190102/1645   -9.9
20190102/1715   -9.9
20190102/1745   -9.9
20190102/1815   -9.9
20190102/1845   -9.9
20190102/1915   -9.9
20190102/1945   -9.9
20190102/2015   -9.9
20190102/2045   -9.9
20190102/2115   -9.9
20190102/2145   -9.9
20190102/2215   -9.9
20190102/2245   -9.9
20190102/2315   -9.9
20190102/2345   -9.9
20190102/2345   -9.9
20190103/0015   -9.9
20190103/0045   -9.9
20190103/0115   -9.9
20190103/0145   -9.9
20190103/0215   -9.9
20190103/0245   -9.9
20190103/0315   -9.9
20190103/0345   -9.9
20190103/0415   -9.9
20190103/0445   -9.9
20190103/0515   -9.9
20190103/0545   -9.9
20190103/0615   -9.9
20190103/0645   -9.9
20190103/0715   -9.9
20190103/0745   -9.9
20190103/0815   -9.9
20190103/0845   -9.9
20190103/0915   -9.9
20190103/0945   -9.9
20190103/1015   -9.9
20190103/1045   -9.9
20190103/1115   -9.9
20190103/1145   -9.9
20190103/1215   -9.9
20190103/1245   -9.9
20190103/1315   -9.9
20190103/1345   -9.9
20190103/1415   -9.9
20190103/1445   -9.9
20190103/1515   -9.9
20190103/1545   -9.9
20190103/1615   -9.9
20190103/1645   -9.9
20190103/1715   -9.9
20190103/1745   -9.9
20190103/1815   -9.9
20190103/1845   -9.9
20190103/1915   -9.9
20190103/1945   -9.9
20190103/2015   -9.9
20190103/2045   -9.9
20190103/2215   -9.9
20190103/2245   -9.9
20190103/2315   -9.9
20190103/2345   -9.9
20190103/2345   -9.9
20190104/0015   -9.9
20190104/0045   -9.9
20190104/0115   -9.9
20190104/0145   -9.9
20190104/0215   -9.9
20190104/0245   -9.9
20190104/0315   -9.9
20190104/0345   -9.9
20190104/0415   -9.9
20190104/0445   -9.9
20190104/0515   -9.9
20190104/0545   -9.9
20190104/0615   -9.9
20190104/0645   -9.9
20190104/0715   -9.9
20190104/0745   -9.9
20190104/0815   -9.9
20190104/0845   -9.9
20190104/0915   -9.9
20190104/0945   -9.9
20190104/1015   -9.9
20190104/1045   -9.9
20190104/1115   -9.9
20190104/1145   -9.9
20190104/1215   -9.9
20190104/1245   -9.9
20190104/1315   -9.9
20190104/1345   -9.9
20190104/1415   -9.9
20190104/1445   -9.9
20190104/1515   -9.9
20190104/1545   -9.9
20190104/1615   -9.9
20190104/1645   -9.9
20190104/1715   -9.9
20190104/1745   -9.9
20190104/1815   -9.9
20190104/1845   -9.9
20190104/1915   -9.9
20190104/1945   -9.9
20190104/2015   -9.9
20190104/2045   -9.9
20190104/2115   -9.9
